,CompanyId,BankEntryDate,BankEntryText,BankEntryAmount,AccountName,AccountNumber,AccountTypeName
0,int:a055470,2016-02-29,str:6cd08e4 int:49fed34,> -1000,str:1e82557,9900,Balance
1,int:a055470,2016-02-29,str:6cd08e4 int:49fed34,> -1000,str:9ce853c,3115,Profit and Loss
2,int:a055470,2016-02-29,str:38248d2,> -100,str:a9f0788,2240,Profit and Loss
3,int:a055470,2016-02-29,str:38248d2,> -100,str:1e82557,9900,Balance
4,int:a055470,2016-02-29,str:c704d91 str:1b0ad3b str:2598b78 str:070dddb,> -10000,str:a67d2b5,2270,Profit and Loss
5,int:a055470,2016-02-29,str:c7ba15f str:f2db7aa str:402615b,> -1000,str:a9f0788,2240,Profit and Loss
6,int:a055470,2016-02-29,str:a8fdd98 int:13609cf str:1331318 str:4f2111c int:acc63b9,> -1000,str:892c3fd,2239,Profit and Loss
7,int:a055470,2016-02-26,str:590be0f str:d4cc763,> -1000,str:65a86dc,3628,Profit and Loss
8,int:a055470,2016-02-25,str:dd1a39f,< 10000,str:ea57e55,2291,Profit and Loss
9,int:a055470,2016-02-25,str:8c4cbc7 str:4ea6493 str:d899b83 str:a4f2b0c,> -100,str:a9f0788,2240,Profit and Loss
10,int:a055470,2016-02-25,str:811d1d5 str:5ad9e74 str:a67fb86 str:5865174,> -100,str:a9f0788,2240,Profit and Loss
11,int:a055470,2016-02-25,str:bafa491 str:442676a str:bcdf5a4,big negative,str:40e42a9,5670,Balance
12,int:a055470,2016-02-25,str:bafa491 str:e590fe4,big positive,str:cc78807,5660,Balance
13,int:a055470,2016-02-24,str:c704d91 str:6e81fd5 str:2ef2852 str:576bfe1 str:b73dc62,> -10000,str:a67d2b5,2270,Profit and Loss
14,int:a055470,2016-02-24,str:c704d91 str:6e81fd5 str:ceb0f29 str:5e60e75 str:b73dc62,> -10000,str:a67d2b5,2270,Profit and Loss
15,int:a055470,2016-02-24,str:c7ba15f str:f2db7aa str:0ca11b1 str:5e60e75,> -1000,str:2f85016,3604,Profit and Loss
16,int:a055470,2016-02-24,str:c26756c str:12077f2,> -100,str:a9f0788,2240,Profit and Loss
17,int:a055470,2016-02-23,str:74c905f str:5d1f84b int:4effaba,> -1000,str:2f85016,3604,Profit and Loss
18,int:a055470,2016-02-23,str:c327d58 str:e43898a str:4f2111c,> -100,str:a9f0788,2240,Profit and Loss
19,int:a055470,2016-02-23,str:76d5d12 str:12077f2,> -1000,str:a9f0788,2240,Profit and Loss
20,int:a055470,2016-02-23,str:959748e str:38af8e2,> -10000,str:2f85016,3604,Profit and Loss
21,int:a055470,2016-02-23,str:a8fdd98 int:28a909c str:c42c120 str:4f2111c,> -10000,str:892c3fd,2239,Profit and Loss
